0140, 00185680, 23.612897, 0.803858
0141, 00185475, 23.622456, 0.804080
0142, 00185248, 23.632065, 0.804296
0143, 00185059, 23.641864, 0.804519
0144, 00184870, 23.651594, 0.804738
0145, 00184695, 23.661245, 0.804956
0146, 00184494, 23.670808, 0.805169
0147, 00184292, 23.680286, 0.805379
0148, 00184109, 23.689751, 0.805585
0149, 00183944, 23.699245, 0.805790
0150, 00183750, 23.708609, 0.805989
0151, 00183537, 23.718031, 0.806189
0152, 00183376, 23.727477, 0.806395
0153, 00183239, 23.736793, 0.806600
0154, 00183036, 23.745840, 0.806803
0155, 00182836, 23.754826, 0.807000
0156, 00182671, 23.763816, 0.807193
0157, 00182530, 23.772958, 0.807392
0158, 00182322, 23.782056, 0.807599
0159, 00182152, 23.791273, 0.807810
0160, 00182004, 23.800488, 0.808013
0161, 00181828, 23.809425, 0.808202
0162, 00181652, 23.817992, 0.808386
0163, 00181487, 23.826522, 0.808573
0164, 00181307, 23.835158, 0.808765
0165, 00181131, 23.843948, 0.808958
0166, 00180991, 23.852855, 0.809148
0167, 00180855, 23.861636, 0.809332
0168, 00180676, 23.870284, 0.809512
0169, 00180475, 23.878737, 0.809686
0170, 00180337, 23.887219, 0.809866
0171, 00180176, 23.895562, 0.810037
0172, 00180006, 23.904061, 0.810209
0173, 00179835, 23.912669, 0.810387
0174, 00179696, 23.921285, 0.810569
0175, 00179549, 23.929804, 0.810749
0176, 00179373, 23.938051, 0.810920
0177, 00179236, 23.946273, 0.811088
0178, 00179097, 23.954424, 0.811254
0179, 00178919, 23.962686, 0.811426
0180, 00178749, 23.971159, 0.811613
0181, 00178634, 23.979590, 0.811798
0182, 00178494, 23.987929, 0.811977
0183, 00178343, 23.996112, 0.812141
0184, 00178180, 24.004143, 0.812299
0185, 00178062, 24.012001, 0.812458
0186, 00177925, 24.019828, 0.812617
0187, 00177750, 24.027741, 0.812780
0188, 00177609, 24.035891, 0.812959
0189, 00177489, 24.043955, 0.813129
0190, 00177352, 24.051959, 0.813299
0191, 00177195, 24.059913, 0.813464
0192, 00177052, 24.067659, 0.813625
0193, 00176938, 24.075249, 0.813776
0194, 00176799, 24.083010, 0.813926
0195, 00176671, 24.090895, 0.814072
0196, 00176544, 24.098729, 0.814221
0197, 00176369, 24.106573, 0.814383
